Annee,Nom_station_mesure,Agglo_station,CodeInsee,LATITUDE,LONGITUDE,Type_station,Moy_ann_microg/m3,Objectif_qual_microg/m3_moy_ann,Percentile98_ann_microg/m3,Moy_jour_maxi_ann_microg/m3,Moy_hor_maxi_ann_microg/m3,Val_lim_microg/m3_moy_jour_pas_depasser_plus3joursparan,Nombre_jours_depassement_valeur_limite_moy_jours_pas_de_passer_plus_de_3_jours_par_an,Val_lim_microg/m3_moy_hor_pas_depasser_plus_de_24_heures_par_an,Nombre_heures_de_depassement_de_la_val_lim_moy_hor_pas_depasser_plus_de_24h_par_an
2009,BEAUX-ARTS,ANGERS,49007,47.468475,-0.555933333,URBAINE,1,50,7,9,25,125,0,350,0
2008,BEAUX-ARTS,ANGERS,49007,47.468475,-0.555933333,URBAINE,0,50,3,3,10,125,0,350,0
2007,BEAUX-ARTS,ANGERS,49007,47.468475,-0.555933333,URBAINE,0,50,4,8,17,125,0,350,0
2006,BEAUX-ARTS,ANGERS,49007,47.468475,-0.555933333,URBAINE,1,50,7,13,24,125,0,350,0
2005,BEAUX-ARTS,ANGERS,49007,47.468475,-0.555933333,URBAINE,2,50,9,9,38,125,0,350,0
2007,ST-EXUPERY,CHOLET,49099,47.05581667,-0.883552778,URBAINE,1,50,5,6,13,125,0,350,0
2009,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,0,50,1,2,5,125,0,350,0
2006,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,0,50,4,5,20,125,0,350,0
2008,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,1,50,4,4,11,125,0,350,0
2005,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,1,50,7,8,38,125,0,350,0
2011,GUEDOU,LE MANS,72181,47.98893333,0.196033333,URBAINE,0,50,3,3,10,125,0,350,0
2010,GUEDOU,LE MANS,72181,47.98893333,0.196033333,URBAINE,0,50,3,5,27,125,0,350,0
2009,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,0,50,4,9,23,125,0,350,0
2008,GUEDOU,LE MANS,72181,47.98893333,0.196033333,URBAINE,1,50,7,12,52,125,0,350,0
2007,GUEDOU,LE MANS,72181,47.98893333,0.196033333,URBAINE,1,50,8,14,125,125,0,350,0
2006,GUEDOU,LE MANS,72181,47.98893333,0.196033333,URBAINE,2,50,16,28,86,125,0,350,0
2005,BEL AIR,LE MANS,72181,47.98893333,0.196033333,URBAINE,2,50,13,13,55,125,0,350,0
2016,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,1,50,6,19,63,125,0,350,0
2015,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,1,50,4,7,41,125,0,350,0
2014,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,1,50,6,16,57,125,0,350,0
2013,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,1,50,5,6,37,125,0,350,0
2012,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,1,50,9,40,99,125,0,350,0
2011,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,3,50,9,19,66,125,0,350,0
2010,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,3,50,12,13,117,125,0,350,0
2009,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,2,50,15,20,110,125,0,350,0
2008,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,2,50,14,25,74,125,0,350,0
2007,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,1,50,19,29,90,125,0,350,0
2006,BLUM,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,3,50,28,28,117,125,0,350,0
2005,BLUM,SAINT-NAZAIRE,44184,47.27311944,-2.223161111,URBAINE,4,50,27,29,101,125,0,350,0
2010,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,0,50,3,5,12,125,0,350,0
2009,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,0,50,1,1,11,125,0,350,0
2008,BOUTEILLERIE,NANTES,44109,47.222175,-1.537427778,URBAINE,0,50,3,3,27,125,0,350,0
2007,JARDIN,NANTES,44109,47.222175,-1.537427778,URBAINE,2,50,8,10,40,125,0,350,0
2006,JARDIN,NANTES,44109,47.222175,-1.537427778,URBAINE,2,50,9,12,103,125,0,350,0
2005,JARDIN,NANTES,44109,47.222175,-1.537427778,URBAINE,2,50,10,10,42,125,0,350,0
2005,SAINT SEBASTIEN SUR LOIRE,NANTES,44190,47.2002556,-1.488797222,URBAINE,2,50,9,11,35,125,0,350,0
