Nom_res_nat,Url,Commune,Departement,Surface_m2,LATITUDE,LONGITUDE
Lac de Grand-Lieu,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/lac-de-grand-lieu/,SAINT-PHILBERT-DE-GRAND-LIEU,44, 6318381,47.091308197,-1.655774109
Prairies et roselière des Dureaux,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/prairies-et-roseliere-des-dureaux/,VAAS,72, 104371,47.662390401,0.289792756
Coteau et prairies des Caforts,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/coteau-et-prairies-des-caforts/,LUCHE-PRINGE,72, 32031,47.698772904,0.10278014
Coteau et Plateau de Tessé,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/coteau-et-plateau-de-tesse/,VILLAINES-LA-CARELLE,72, 55530,48.366265916,0.32010389
Tourbière de Logné,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/tourbiere-de-logne-une-zone-humide-exceptionnelle/,CARQUEFOU,44, 609255,47.326320018,-1.503496205
Marais communal du Poiré-sur-Velluire,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/marais-communal-du-poire-sur-velluire/,LE POIRE SUR VELLUIRE,85, 2438021,46.415918868,-0.9285765
Bocage humide des Cailleries,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/marais-de-la-vacherie/,SAINT COLOMBAN,44, 181160,47.03916938,-1.509926506
Ferme de Choisy,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/ferme-de-choisy/,SAINT MICHEL EN L'HERM,85, 775607,46.387632425,-1.258345273
Basses-Brosses et Chevalleries,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/fermes-de-basses-brosses-et-chevalleries/,BOUCHEMAINE,49, 996720,47.41398952,-0.643195188
Etang du Pont de Fer,http://www.paysdelaloire.fr/uploads/tx_oxcsnewsfiles/060516.rnr_pontdefer.pdf,ASSERAC,44, 524226,47.466629224,-2.421861883
Bas-marais tourbeux de la Basse Goulandière,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/bas-marais-tourbeux-de-la-basse-goulandiere/,PARIGNE-L'EVEQUE,72, 376162,47.932261357,0.334714124
Ferme bocagère de la Chauffetière,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/ferme-bocagere-de-la-chauffetiere/,DRAIN,49, 298748,47.318580763,-1.178917444
Polder de Sébastopol,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/polder-de-sebastopol/,BARBATRE,85, 1281162,46.943444217,-2.157332199
Coteaux du Pont-Barré,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/coteaux-du-pont-barre/,BEAULIEU-SUR-LAYON,49, 85643,47.317444145,-0.619823415
Marais de la Vacherie,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/marais-de-la-vacherie/,CHAMPAGNE-LES-MARAIS,85, 1660092,46.395970074,-1.110559499
Marais de Cré-sur-Loir/La Flèche,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/marais-de-cre-sur-loirla-fleche/,CRE et LA FLECHE,72, 637767,47.681375265,-0.143286088
Landes et tourbière des Egoutelles,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/landes-et-tourbiere-des-egoutelles/,VILLEPAIL,53, 12807,48.391010844,-0.266135659
Espace dunaire de la Pointe Saint-Gildas,http://www.paysdelaloire.fr/index.php?id=9239,PREFAILLES,44, 130026,47.132636081,-2.24390603
Marais de Brière,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/rnr-ferme-de-choisy-copie-1/,SAINT JOACHIM/SAINT MALO DE GUERSAC,44, 8581543,47.360845813,-2.249365943
Étang et boisements de Joreau,http://www.paysdelaloire.fr/decouvrir/reserves-regionales/actu-detaillee/n/rnr-etang-et-boisements-de-joreau/,GENNES,49, 947497,47.325245,-0.222788
